Candidate Number,,CEGE201M,COMP201P,COMP202P,COMP203P,COMP204P,COMP205P,COMP206P,COMP207P,COMP209P,COMP7008,ELEC210P,LCFR6001,LCFR6003,LCGE6001,LCGE6002,LCJA6001,LCJA6005,LCMA6001,LCMA6003,MSIN6001B,MSIN7008,MSIN716P,STAO6002,Outcome,Overall,,
,Module Result,,71,76,62,80,77,84,84,,,55,,,,,,,,,,,,,Raw Average Module Mark,74,,
JNFT3,Credit Value,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,71,81,81,68,75,75,66,88,,,,,,,,,,,,,,,,Raw Average Module Mark,76,,
JXBW4,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,0.5,,,,,,Totals Credits Gained,3.5,PP,Pass Progress to next academic year
,Module Result,,67,69,64,75,75,0,51,,,,,,,,,,54,,,,,,Raw Average Module Mark,65,,
LHDL7,Credit Value,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,72,67,68,57,69,63,74,65,,,,,,,,,,,,,,,,Raw Average Module Mark,67,,
LTSL0,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,0.5,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,81,85,66,80,78,67,86,,,,,,,,,,,,63,,,,Raw Average Module Mark,76,,
LBQB0,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,0.5,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,59,68,66,75,67,50,55,,,,,,,,,,,,,,47,,Raw Average Module Mark,61,,
LYQB7,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,0.5,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,73,74,66,70,72,64,56,,,,,,,,,,,,,73,,,Raw Average Module Mark,69,,
LNMK3,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,2.5,FR,Referral in current year (Aug/Sep)
,Module Result,,31,51,53,72,74,39,32,58,,,,,,,,,,,,,,,Raw Average Module Mark,62,,
LFHB5,Credit Value,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,0,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,78,95,79,76,73,75,86,87,,,,,,,,,,,,,,,,Raw Average Module Mark,81,,
JFZK0,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,0.5,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,75,89,63,64,63,59,78,,,,,,,,,,,,,,62,,Raw Average Module Mark,69,,
LVCS7,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,82,84,70,85,84,81,77,70,,,,,,,,,,,,,,,Raw Average Module Mark,79,,
JXNC2,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,0.5,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,82,78,69,68,74,86,65,,,,,,,,,,,,75,,,,Raw Average Module Mark,75,,
LFPS0,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,0.5,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,80,69,66,71,75,84,80,,,,,,,,,,,,70,,,,Raw Average Module Mark,74,,
LFRC4,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,0.5,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,72,69,65,70,71,83,63,,,,,,,,,,,,,,58,,Raw Average Module Mark,69,,
LLHT1,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,89,87,72,74,73,76,95,60,,,,,,,,,,,,,,,Raw Average Module Mark,78,,
KFZS1,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,85,82,69,75,78,93,89,68,,,,,,,,,,,,,,,Raw Average Module Mark,80,,
KMLV5,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,0.5,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,80,69,68,74,82,70,87,,,,,,,,,,,70,,,,,Raw Average Module Mark,75,,
KCBL5,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,0.5,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,84,89,71,70,73,78,84,,,,,,79,,,,,,,,,,Raw Average Module Mark,79,,
JKCL7,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,0.5,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,71,50,57,66,61,48,63,,,,,,,,45,,,,,,,,Raw Average Module Mark,58,,
