Candidate Number,,CEGE201M,COMP105P,COMP201P,COMP202P,COMP203P,COMP204P,COMP205P,COMP206P,COMP207P,COMP209P,ELEC210P,ENGS212M,LCFR6001,LCFR6002,LCFR6003,LCGE6007,LCJA6001,LCMA6001,LCSP6001,MSIN6001B,MSIN7008,MSIN716P,STAO6001,STAO6002,Outcome,Overall,,
,Module Result,,,79,70,65,75,76,71,84,,,,,,,,,,,63,,,,,Raw Average Module Mark,73,,
KBLL6,Credit Value,0.5,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,71,,77,84,59,66,67,49,58,,,,,,,,,,,,,,,,Raw Average Module Mark,66,,
LZML0,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,0.5,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,76,46,62,40,52,44,58,,,,,,54,,,,,,,,,,Raw Average Module Mark,54,,
KNZC9,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,81,86,54,79,70,41,64,,79,,,,,,,,,,,,,,Raw Average Module Mark,69,,
LRJB1,Credit Value,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,0.5,,,,,,,,,Totals Credits Gained,4.5,PP,Pass Progress to next academic year
,Module Result,,53,63,58,64,50,56,55,65,,,,,,,73,,,,,,,,,Raw Average Module Mark,60,,
LGWC8,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,0,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,81,89,65,60,68,86,85,63,,,,,,,,,,,,,,,Raw Average Module Mark,75,,
LQZS9,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,71,82,66,70,74,48,79,68,,,,,,,,,,,,,,,Raw Average Module Mark,70,,
KVPT4,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,0.5,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,74,78,65,72,75,65,80,,,43,,,,,,,,,,,,,Raw Average Module Mark,69,,
LHQK5,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,0.5,,,,0,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,73,79,66,68,68,64,79,,,,,,,,,,,62,,,,,Raw Average Module Mark,70,,
JNCC3,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,1,RS,Resit in following year
,Module Result,,,0,0,42,50,38,0,0,0,,,,,,,,,,,,,,,Raw Average Module Mark,46,,
LGPK7,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,0.5,,,,0,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,84,88,71,78,75,80,81,,,,,,,,,,76,,,,,,Raw Average Module Mark,79,,
LJVS0,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,75,81,52,65,61,75,70,53,,,,,,,,,,,,,,,Raw Average Module Mark,67,,
JMVT8,Credit Value,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.5,,,,,,,,,,,,Totals Credits Gained,4,PP,Pass Progress to next academic year
,Module Result,,,50,62,68,71,71,58,68,,,,62,,,,,,,,,,,,Raw Average Module Mark,64,,
